sno,total,available_rent_bikes,available_return_bikes,infoTime,source_file
500119059,68,0,67,2024-12-11 21:59:15,2024-12-11.csv
500119096,99,37,62,2024-12-11 03:59:14,2024-12-11.csv
500101022,99,79,8,2024-12-11 04:02:15,2024-12-11.csv
500119096,99,38,61,2024-12-11 02:02:15,2024-12-11.csv
500101181,99,51,48,2024-12-11 21:48:15,2024-12-11.csv
500101022,99,6,65,2024-12-11 22:18:15,2024-12-11.csv
500119096,99,32,67,2024-12-11 22:16:15,2024-12-11.csv
500101181,99,58,41,2024-12-11 21:38:14,2024-12-11.csv
500101022,99,19,62,2024-12-11 02:46:15,2024-12-11.csv
500119006,92,52,40,2024-12-11 23:28:14,2024-12-11.csv
500101022,99,18,63,2024-12-11 02:22:15,2024-12-11.csv
500119006,92,52,40,2024-12-11 23:17:14,2024-12-11.csv
500119096,99,37,62,2024-12-11 00:38:14,2024-12-11.csv
500119077,56,53,1,2024-12-11 13:18:15,2024-12-11.csv
500119049,99,67,2,2024-12-11 13:47:14,2024-12-11.csv
500119049,99,65,4,2024-12-11 14:58:15,2024-12-11.csv
500101181,99,85,14,2024-12-11 16:57:15,2024-12-11.csv
500119068,66,22,22,2024-12-11 16:38:15,2024-12-11.csv
500101032,61,18,43,2024-12-11 16:38:15,2024-12-11.csv
500119048,53,9,44,2024-12-11 15:38:15,2024-12-11.csv
500101032,61,12,49,2024-12-11 14:28:14,2024-12-11.csv
500119048,53,3,50,2024-12-11 15:09:15,2024-12-11.csv
500119048,53,1,52,2024-12-11 13:18:15,2024-12-11.csv
500101032,61,7,54,2024-12-11 15:08:14,2024-12-11.csv
500119059,68,12,56,2024-12-11 14:04:15,2024-12-11.csv
500101181,99,40,59,2024-12-11 15:56:15,2024-12-11.csv
500119006,92,3,89,2024-12-11 15:27:15,2024-12-11.csv
500101022,99,3,93,2024-12-11 14:26:15,2024-12-11.csv
500101022,99,2,94,2024-12-11 13:48:14,2024-12-11.csv
500101181,99,3,96,2024-12-11 13:28:15,2024-12-11.csv
500119077,56,56,0,2024-12-11 08:44:15,2024-12-11.csv
500119048,53,49,4,2024-12-11 06:43:14,2024-12-11.csv
500101032,61,55,5,2024-12-11 05:49:14,2024-12-11.csv
500119048,53,48,5,2024-12-11 06:55:16,2024-12-11.csv
500119077,56,50,6,2024-12-11 08:28:14,2024-12-11.csv
500101022,99,73,14,2024-12-11 05:58:14,2024-12-11.csv
500101032,61,33,27,2024-12-11 07:58:15,2024-12-11.csv
500119059,68,22,46,2024-12-11 08:28:15,2024-12-11.csv
500101032,61,13,47,2024-12-11 08:27:14,2024-12-11.csv
500119006,92,43,48,2024-12-11 04:55:16,2024-12-11.csv
500119059,68,18,50,2024-12-11 08:17:15,2024-12-11.csv
500119068,66,1,65,2024-12-11 06:47:15,2024-12-11.csv
500119096,99,33,66,2024-12-11 07:46:15,2024-12-11.csv
500101022,99,28,70,2024-12-11 07:38:15,2024-12-11.csv
500119049,99,5,94,2024-12-11 07:58:14,2024-12-11.csv
500101022,99,3,95,2024-12-11 08:24:14,2024-12-11.csv
500119049,99,3,96,2024-12-11 07:44:15,2024-12-11.csv
500119049,99,2,97,2024-12-11 07:16:15,2024-12-11.csv
500119006,92,50,42,2024-12-11 22:37:15,2024-12-11.csv
500101032,61,56,5,2024-12-11 22:38:14,2024-12-11.csv
500119068,66,37,2,2024-12-11 11:16:15,2024-12-11.csv
500119068,66,33,6,2024-12-11 11:52:15,2024-12-11.csv
500119049,99,61,8,2024-12-11 11:49:15,2024-12-11.csv
500119049,99,59,10,2024-12-11 12:07:15,2024-12-11.csv
500119068,66,29,10,2024-12-11 12:18:15,2024-12-11.csv
500119077,56,46,10,2024-12-11 09:28:15,2024-12-11.csv
500119077,56,38,16,2024-12-11 12:37:15,2024-12-11.csv
500119077,56,36,18,2024-12-11 12:25:15,2024-12-11.csv
500119059,68,42,26,2024-12-11 09:17:16,2024-12-11.csv
500119068,66,11,28,2024-12-11 12:37:15,2024-12-11.csv
500119049,99,40,29,2024-12-11 12:59:14,2024-12-11.csv
500119059,68,34,34,2024-12-11 11:52:15,2024-12-11.csv
500119049,99,56,37,2024-12-11 09:08:15,2024-12-11.csv
500119059,68,30,38,2024-12-11 09:08:15,2024-12-11.csv
500119068,66,27,39,2024-12-11 09:26:16,2024-12-11.csv
500119059,68,26,42,2024-12-11 10:08:16,2024-12-11.csv
500119068,66,21,45,2024-12-11 09:06:14,2024-12-11.csv
