sno,total,available_rent_bikes,available_return_bikes,infoTime
500119046,40,40,0,2024-10-01 10:18:19
500119075,48,32,0,2024-10-01 12:28:18
500119084,40,39,1,2024-10-01 10:54:19
500119088,35,33,2,2024-10-01 11:37:18
500119093,36,29,7,2024-10-01 10:47:19
500119045,45,29,16,2024-10-01 12:28:18
500119059,68,49,19,2024-10-01 12:28:18
500119059,68,34,34,2024-10-01 10:58:20
500101181,99,49,49,2024-10-01 12:28:18
500119093,36,32,4,2024-10-01 14:34:18
500119048,53,53,0,2024-10-01 18:28:16
500119005,37,36,1,2024-10-01 18:28:18
500119048,53,52,1,2024-10-01 21:19:15
500119045,45,42,3,2024-10-01 18:08:20
500119094,40,37,3,2024-10-01 18:28:18
500119070,48,43,5,2024-10-01 17:48:19
500119070,48,36,12,2024-10-01 21:16:17
500119049,99,58,0,2024-10-01 10:16:15
500119075,48,32,0,2024-10-01 10:18:15
500119077,56,47,0,2024-10-01 10:11:15
500119086,51,36,0,2024-10-01 10:16:15
500119088,35,35,0,2024-10-01 10:08:21
500119084,40,38,2,2024-10-01 11:38:18
500119068,66,35,4,2024-10-01 11:35:18
500119044,35,29,6,2024-10-01 11:38:18
500119059,68,32,36,2024-10-01 10:08:21
500119044,35,35,0,2024-10-01 14:33:15
500119046,40,40,0,2024-10-01 14:27:16
500101022,99,30,0,2024-10-01 17:48:19
500119045,45,45,0,2024-10-01 18:28:18
500119048,53,53,0,2024-10-01 18:07:20
500101181,99,97,1,2024-10-01 17:48:19
500119094,40,39,1,2024-10-01 17:48:16
500101181,99,95,3,2024-10-01 18:08:20
500119070,48,43,5,2024-10-01 18:08:20
500119090,40,33,7,2024-10-01 18:28:18
500119049,99,58,0,2024-10-01 10:08:15
500119068,66,34,0,2024-10-01 10:12:15
500119077,56,47,0,2024-10-01 10:45:15
500119088,35,35,0,2024-10-01 10:58:15
500119077,56,46,1,2024-10-01 11:31:15
500119077,56,46,1,2024-10-01 10:08:21
500119049,99,54,4,2024-10-01 10:58:20
500119093,36,30,6,2024-10-01 11:33:19
500119059,68,31,37,2024-10-01 10:18:20
500101022,99,42,55,2024-10-01 12:28:18
500119077,56,47,1,2024-10-01 14:38:17
500101022,99,30,0,2024-10-01 18:27:19
500119094,40,39,1,2024-10-01 18:08:15
500119067,42,30,0,2024-10-01 09:56:16
500119067,42,30,0,2024-10-01 10:18:20
500119075,48,32,0,2024-10-01 10:00:18
500119049,99,57,1,2024-10-01 11:38:18
500119090,40,33,1,2024-10-01 10:18:20
500119086,51,32,4,2024-10-01 10:08:21
500119046,40,34,6,2024-10-01 10:54:19
500119046,40,34,6,2024-10-01 10:07:20
500119093,36,30,6,2024-10-01 12:27:18
500119077,56,29,19,2024-10-01 12:28:18
500119059,68,31,37,2024-10-01 11:38:18
500119049,99,57,1,2024-10-01 14:38:18
500119059,68,66,2,2024-10-01 14:38:18
500119057,48,31,16,2024-10-01 14:37:17
500101022,99,30,0,2024-10-01 18:08:15
500101181,99,96,2,2024-10-01 18:28:18
500119090,40,35,5,2024-10-01 18:08:20
500119070,48,42,6,2024-10-01 18:28:18
500119005,37,30,7,2024-10-01 17:47:18
500119005,37,29,8,2024-10-01 18:08:20
500119077,56,34,21,2024-10-01 18:28:18
500119067,42,30,0,2024-10-01 10:54:15
500119075,48,32,0,2024-10-01 11:37:15
500119067,42,29,1,2024-10-01 11:38:18
500119090,40,33,1,2024-10-01 10:55:22
500119044,35,32,3,2024-10-01 10:56:19
500119090,40,31,3,2024-10-01 11:35:19
500119061,39,32,7,2024-10-01 12:28:18
500119084,40,30,10,2024-10-01 10:08:21
500119058,33,33,0,2024-10-01 14:32:16
500119067,42,30,0,2024-10-01 14:39:18
500119068,66,36,1,2024-10-01 14:39:18
500119084,40,32,3,2024-10-01 14:37:17
500119048,53,53,0,2024-10-01 17:46:15
500119094,40,38,2,2024-10-01 21:16:16
500101181,99,83,3,2024-10-01 21:19:17
500119005,37,32,5,2024-10-01 21:18:16
500119045,45,36,9,2024-10-01 17:48:19
500101032,61,41,20,2024-10-01 21:18:17
500119065,10,0,10,2024-10-01 10:58:20
500106003,12,0,12,2024-10-01 10:05:16
500106003,12,0,12,2024-10-01 10:18:20
500119063,27,0,27,2024-10-01 10:08:15
500119094,40,0,40,2024-10-01 08:54:15
500119043,42,0,42,2024-10-01 10:57:15
500101033,46,0,45,2024-10-01 09:50:17
500119045,45,0,45,2024-10-01 10:56:15
500119070,48,0,48,2024-10-01 10:57:19
