sno,total,available_rent_bikes,available_return_bikes,infoTime,source_file
500119068,66,2,64,2024-12-05 01:43:14,2024-12-05.csv
500101022,99,17,20,2024-12-05 21:58:15,2024-12-05.csv
500119096,99,35,64,2024-12-05 22:23:16,2024-12-05.csv
500119006,92,24,68,2024-12-05 01:39:15,2024-12-05.csv
500119049,99,2,95,2024-12-05 01:07:15,2024-12-05.csv
500101032,61,60,1,2024-12-05 06:46:15,2024-12-05.csv
500101032,61,35,26,2024-12-05 08:08:16,2024-12-05.csv
500119048,53,20,33,2024-12-05 06:42:15,2024-12-05.csv
500101022,99,38,35,2024-12-05 06:04:14,2024-12-05.csv
500101022,99,43,37,2024-12-05 07:28:15,2024-12-05.csv
500101022,99,30,50,2024-12-05 07:38:15,2024-12-05.csv
500101181,99,45,53,2024-12-05 05:14:15,2024-12-05.csv
500101032,61,7,54,2024-12-05 08:48:15,2024-12-05.csv
500101032,61,5,56,2024-12-05 08:56:16,2024-12-05.csv
500119059,68,6,62,2024-12-05 07:52:15,2024-12-05.csv
500101181,99,35,63,2024-12-05 06:42:15,2024-12-05.csv
500119006,92,29,63,2024-12-05 07:15:16,2024-12-05.csv
500119059,68,4,64,2024-12-05 07:48:15,2024-12-05.csv
500119006,92,27,65,2024-12-05 08:11:16,2024-12-05.csv
500119096,99,23,75,2024-12-05 07:58:15,2024-12-05.csv
500101181,99,14,84,2024-12-05 07:08:15,2024-12-05.csv
500119096,99,6,93,2024-12-05 08:37:14,2024-12-05.csv
500101181,99,1,97,2024-12-05 08:35:16,2024-12-05.csv
500119048,53,46,7,2024-12-05 21:45:16,2024-12-05.csv
500101032,61,57,4,2024-12-05 23:26:15,2024-12-05.csv
500101181,99,8,91,2024-12-05 23:48:14,2024-12-05.csv
500101181,99,13,86,2024-12-05 22:48:15,2024-12-05.csv
500119048,53,37,16,2024-12-05 22:45:16,2024-12-05.csv
500119006,92,2,90,2024-12-05 09:52:14,2024-12-05.csv
500119096,99,5,94,2024-12-05 10:09:15,2024-12-05.csv
500101181,99,2,96,2024-12-05 09:08:15,2024-12-05.csv
500101022,99,35,0,2024-12-05 19:47:15,2024-12-05.csv
500119048,53,52,1,2024-12-05 19:48:15,2024-12-05.csv
500101022,99,43,2,2024-12-05 17:57:16,2024-12-05.csv
500101181,99,97,2,2024-12-05 20:48:15,2024-12-05.csv
500101181,99,97,2,2024-12-05 19:18:16,2024-12-05.csv
500119048,53,38,15,2024-12-05 17:28:15,2024-12-05.csv
500119077,56,34,22,2024-12-05 20:04:15,2024-12-05.csv
500119077,56,20,33,2024-12-05 18:34:15,2024-12-05.csv
500101032,61,22,39,2024-12-05 20:54:15,2024-12-05.csv
500101032,61,3,58,2024-12-05 19:46:15,2024-12-05.csv
500119068,66,1,64,2024-12-05 21:23:15,2024-12-05.csv
500119068,66,0,65,2024-12-05 19:18:16,2024-12-05.csv
500119096,99,27,72,2024-12-05 21:14:15,2024-12-05.csv
500119096,99,23,76,2024-12-05 20:41:15,2024-12-05.csv
